date,open,high,low,close,volume
2025-04-30,146.38,148.71,140.59,147.61,130665.358
2025-04-29,147.86,150.44,145.1,146.42,79349.037
2025-04-28,148.06,153.42,144.81,147.85,158718.841
2025-04-27,149.34,150.4,145.62,148.05,66183.025
2025-04-26,150.91,153.19,147.9,149.31,67473.823
2025-04-25,152.52,156.95,150.04,150.94,191473.496
2025-04-24,151.14,153.03,145.23,152.62,131886.228
2025-04-23,149.1,154.27,147.2,151.14,211430.103
2025-04-22,136.57,150.08,134.72,148.77,261307.208
2025-04-21,137.82,142.82,133.86,136.54,192701.501
2025-04-20,139.82,141.91,135.63,137.79,158462.403
2025-04-19,134.01,140.38,133.59,139.81,141066.457
2025-04-18,134.83,135.93,132.46,134.02,135473.328
2025-04-17,131.26,136.1,129.53,134.79,220872.055
2025-04-16,126.06,133.97,123.55,131.41,290746.053
2025-04-15,129.49,134.41,125.85,126.13,197452.159
2025-04-14,128.27,135.83,128.08,129.34,278766.14
2025-04-13,132.32,133.64,125.32,128.3,214111.355
2025-04-12,121.41,134.1,119.44,132.28,293485.064
2025-04-11,112.77,122.57,112.07,121.36,252244.036
2025-04-10,119.07,119.24,108.44,112.73,287886.499
2025-04-09,105.56,120.58,101.22,118.99,742273.513
2025-04-08,106.89,112.49,102.88,105.32,297283.813
2025-04-07,105.76,112.78,95.31,106.99,830779.802
2025-04-06,120.29,121.06,103.82,105.85,281373.932
2025-04-05,122.7,122.77,117.14,120.34,83460.873
2025-04-04,117.22,123.96,113.47,122.74,276173.713
2025-04-03,117.46,120.9,112.31,117.11,301778.304
2025-04-02,126.69,135.89,117.29,117.44,416178.74
2025-04-01,124.52,130.32,123.82,126.71,209036.605
2025-03-31,124.94,127.78,122.86,124.57,177443.536
2025-03-30,124.57,127.03,123.05,124.83,84283.867
2025-03-29,129.48,130.52,122.68,124.63,101492.362
2025-03-28,138.45,139.04,127.8,129.5,181951.537
2025-03-27,137.52,140.27,135.85,138.43,109454.963
2025-03-26,143.78,145.53,136.03,137.42,157180.638
2025-03-25,140.99,147.38,138.23,143.79,174781.049
2025-03-24,132.82,145.12,132.13,141.07,258598.785
2025-03-23,128.48,134.08,128.26,132.92,79055.058
2025-03-22,128.43,131.8,127.87,128.5,71927.718
2025-03-21,127.57,130.15,124.85,128.45,127176.196
2025-03-20,135.58,136.09,126.73,127.57,125816.328
2025-03-19,125.36,136.12,124.31,135.45,198063.619
2025-03-18,128.11,128.25,121.94,125.4,134876.934
2025-03-17,126.15,130.67,125.61,128.15,128058.806
2025-03-16,135.98,136.74,125.23,126.16,134133.303
2025-03-15,133.66,136.57,132.56,135.97,106637.534
2025-03-14,123.36,136.09,122.95,133.57,180263.516
2025-03-13,126.65,128.14,120.88,123.46,172372.689
2025-03-12,125.47,131.2,121.29,126.67,236199.32
2025-03-11,118.65,128.44,112.4,125.39,414442.108
2025-03-10,126.74,131.23,115.73,118.32,380005.71
2025-03-09,137.06,139.96,125.43,126.58,235829.513
2025-03-08,139.34,141.07,135.43,137.09,114373.013
2025-03-07,143.34,151.01,135.15,139.42,498743.22
2025-03-06,146.49,152.91,142.66,143.39,243482.939
2025-03-05,144.69,149.72,140.37,146.38,336119.501
2025-03-04,142.01,146.82,130.89,144.85,776369.515
2025-03-03,178.99,179.5,139.05,142.14,834192.56
2025-03-02,143.68,180.13,140.03,178.81,1416340.191
2025-03-01,148.2,151.12,138.65,143.71,188107.641
2025-02-28,137.76,149.07,125.58,148.23,877263.744
2025-02-27,135.44,142.86,134.75,137.74,290601.458
2025-02-26,144.17,145.12,130.61,135.22,544229.077
2025-02-25,142.31,147.06,131.59,144.28,970625.631
2025-02-24,168.07,169.73,137.92,142.01,686092.554
2025-02-23,172.14,173.16,166.56,168.03,95612.566
2025-02-22,168.95,174.76,167.97,172.17,132826.34
2025-02-21,176.22,180.58,167.14,168.93,310714.505
2025-02-20,169.06,176.69,167.77,176.1,208848.311
2025-02-19,169.25,174.28,163.88,169,263050.264
2025-02-18,177.6,179.18,160.96,169.33,601837.123
2025-02-17,188.29,189.75,174.83,177.6,279348.921
2025-02-16,194.46,196.19,186.48,188.36,159580.767
2025-02-15,199.37,200.28,192.71,194.48,99006.977
2025-02-14,194.5,205.33,194.26,199.42,171408.666
2025-02-13,196.75,198.43,189.03,194.38,122105.795
2025-02-12,197.84,198.58,188.74,196.87,222118.915
2025-02-11,200.58,206.29,195.18,198.07,154794.25
2025-02-10,200.68,209.13,196,200.55,234907.345
2025-02-09,199.5,207.41,193.78,200.58,175194.094
2025-02-08,191.91,200.92,189.85,199.49,123671.548
2025-02-07,189.66,203.44,188.16,192.16,238302.189
2025-02-06,196.21,204.04,187.48,189.61,208339.054
2025-02-05,206.92,209.43,195.19,196.11,174752.453
2025-02-04,216.69,220.02,202.37,206.67,350544.025
2025-02-03,203.43,218.74,176.31,216.43,1178659.663
2025-02-02,212.94,218.8,193.04,203.37,599742.92
2025-02-01,231.53,234.12,212.8,213.03,270333.83
2025-01-31,238.44,241.77,228.15,231.76,288746.18
2025-01-30,228.28,244.95,227.03,238.38,277322.224
2025-01-29,227.17,238.28,222.69,228.17,367761.67
2025-01-28,235.04,243.99,224.97,226.98,288876.949
2025-01-27,240.24,242.53,220.97,235.09,663923.751
2025-01-26,256.49,259.95,240.2,240.44,251014.69
2025-01-25,252.99,260.74,246.35,256.3,295298.412
2025-01-24,253.08,270.3,247.09,253.33,496695.484
2025-01-23,257.22,258.86,242.1,253.15,547310.142
2025-01-22,250.31,272.02,248.58,257.31,586356.421
2025-01-21,242.07,260.02,230.3,250.34,685909.032
2025-01-20,251.35,272.73,229.22,241.93,1627267.021
2025-01-19,261.69,295.31,237.75,252.06,2348545.032
2025-01-18,219.72,270.25,217.36,261.72,1649941.498
2025-01-17,211.13,222.16,209.86,219.59,272889.698
2025-01-16,205.99,217.05,198.41,211.14,307319.57
2025-01-15,187.63,206.21,185.86,205.87,166482.985
2025-01-14,182.84,190.39,181.91,187.58,117048.74
2025-01-13,188.53,191.98,169.38,182.87,203255.232
2025-01-12,188.11,190.96,185.19,188.43,57745.763
2025-01-11,187.69,191.82,184.14,188,91571.053
2025-01-10,185.13,193.2,183.55,187.73,149293.19
2025-01-09,197.42,199.02,182.13,185.02,178277.608
2025-01-08,202.09,203.23,188.79,197.52,224596.099
2025-01-07,218.34,219.29,201.78,202.18,172285.77
2025-01-06,213.73,223.19,211.62,218.29,160503.332
2025-01-05,216.73,219.08,211.55,213.39,115611.326
2025-01-04,218.1,218.1,213.57,216.68,109553.426
2025-01-03,208.17,219.81,205.55,217.9,227484.581
2025-01-02,194.08,210.14,193.25,208.13,235902.586
2025-01-01,189.13,195.04,187.76,194.06,86169.919
2024-12-31,191.13,199.2,187.99,189.1,178396.193
2024-12-30,189.68,196.35,185.78,191.16,166603.655
2024-12-29,195.35,197.39,188.47,189.8,122274.531
2024-12-28,184.08,195.86,183.8,195.37,83169.195
2024-12-27,188.29,194.09,182.68,184.1,108530.176
2024-12-26,197.51,199.54,186.53,188.32,114719.808
2024-12-25,197.13,201.75,194.88,197.33,133271.765
2024-12-24,189.82,198.89,185.88,197.09,178374.081
2024-12-23,180.37,193.35,176.49,189.91,209996.953
2024-12-22,181.45,187.74,177.02,180.35,130887.836
2024-12-21,194.3,202.08,178.45,181.35,240553.402
2024-12-20,194.12,199.5,175.2,194.47,409162.769
