date,open,high,low,close,volume
2025-04-30,19520.77,19784.43,19010.88,19753.13,1764164
2025-04-29,19387.97,19594.54,19285.77,19520.77,1354530
2025-04-28,19441.42,19527.42,19162.34,19387.97,1252481
2025-04-27,19250.02,19478.59,19115.72,19441.42,1601798
2025-04-26,19250.02,19478.59,19115.72,19441.42,1601798
2025-04-25,19250.02,19478.59,19115.72,19441.42,1601798
2025-04-24,18751.45,19313.45,18495.45,19250.02,1396321
2025-04-23,18261.66,19067.03,18261.66,18751.45,2140673
2025-04-22,17810.73,18416.11,17766.66,18261.66,1585221
2025-04-21,18312.71,18312.71,17597.93,17810.73,1211702
2025-04-20,18250.4,18540.14,18150.54,18312.71,2039749
2025-04-19,18250.4,18540.14,18150.54,18312.71,2039749
2025-04-18,18250.4,18540.14,18150.54,18312.71,2039749
2025-04-17,18250.4,18540.14,18150.54,18312.71,2039749
2025-04-16,18818.07,18818.07,17998.35,18250.4,1980217
2025-04-15,18782,19024.64,18689.44,18818.07,1728740
2025-04-14,18705.84,19134.42,18617.57,18782,2156268
2025-04-13,18367.86,18749.04,17942.84,18705.84,2784283
2025-04-12,18367.86,18749.04,17942.84,18705.84,2784283
2025-04-11,18367.86,18749.04,17942.84,18705.84,2784283
2025-04-10,19237.66,19249.04,17783.11,18367.86,3642145
2025-04-09,17112.37,19267.86,16620.16,19237.66,2912106
2025-04-08,17509.01,18235.2,16852.5,17112.37,3263491
2025-04-07,17375.33,18238.84,16334.64,17509.01,2957231
2025-04-06,18494.64,18573,17247.13,17375.33,3828528
2025-04-05,18494.64,18573,17247.13,17375.33,3828528
2025-04-04,18494.64,18573,17247.13,17375.33,3828528
2025-04-03,18986.72,19023.69,18460.81,18494.64,2493912
2025-04-02,19446.99,19893.77,18926.47,18986.72,2026560
2025-04-01,19260.31,19492.56,19110.56,19446.99,1930367
2025-03-31,19225.05,19336.39,18824.64,19260.31,1967195
2025-03-30,19828.7,19846.47,19217.72,19225.05,1467642
2025-03-29,19828.7,19846.47,19217.72,19225.05,1467642
2025-03-28,19828.7,19846.47,19217.72,19225.05,1467642
2025-03-27,19916.48,20030.77,19769.9,19828.7,1472205
2025-03-26,20336.3,20361.9,19870.68,19916.48,1119301
2025-03-25,20166.55,20343.48,20112.48,20336.3,795100
2025-03-24,19762.8,20218.63,19762.8,20166.55,872310
2025-03-23,19683.44,19776.35,19402.05,19762.8,1427827
2025-03-22,19683.44,19776.35,19402.05,19762.8,1427827
2025-03-21,19683.44,19776.35,19402.05,19762.8,1427827
2025-03-20,19733.27,19892.9,19524.07,19683.44,1333582
2025-03-19,19489.5,19930.85,19449.95,19733.27,1359884
2025-03-18,19821.23,19850.55,19390.87,19489.5,2018684
2025-03-17,19652.24,19949.56,19541.23,19821.23,1785990
2025-03-16,19278.67,19726.81,19278.67,19652.24,1723054
2025-03-15,19278.67,19726.81,19278.67,19652.24,1723054
2025-03-14,19278.67,19726.81,19278.67,19652.24,1723054
2025-03-13,19555.27,19677.85,19154.75,19278.67,2109336
2025-03-12,19381.35,19769.39,19369.82,19555.27,1953371
2025-03-11,19449.63,19667.55,19120.47,19381.35,2034226
2025-03-10,20170.96,20170.96,19249.83,19449.63,2159838
2025-03-09,20145.44,20258.41,19737.91,20170.96,2273400
2025-03-08,20145.44,20258.41,19737.91,20170.96,2273400
2025-03-07,20145.44,20258.41,19737.91,20170.96,2273400
2025-03-06,20579.89,20618.12,19974.27,20145.44,2354620
2025-03-05,20503.09,20694.59,20184.84,20579.89,2233564
2025-03-04,20495.13,20700.79,20043.59,20503.09,2665846
2025-03-03,20854.7,21085.45,20281.25,20495.13,2312805
2025-03-02,20589.08,20902.02,20418.27,20854.7,1919218
2025-03-01,20589.08,20902.02,20418.27,20854.7,1919218
2025-02-28,20589.08,20902.02,20418.27,20854.7,1919218
2025-02-27,21228.72,21343.13,20539.63,20589.08,1916304
2025-02-26,21146.78,21363.43,21018.8,21228.72,1377422
2025-02-25,21374.78,21402.95,20941.6,21146.78,1738239
2025-02-24,21606.31,21759.83,21355.08,21374.78,1326000
2025-02-23,22072.74,22184.61,21602.51,21606.31,1152609
2025-02-22,22072.74,22184.61,21602.51,21606.31,1152609
2025-02-21,22072.74,22184.61,21602.51,21606.31,1152609
2025-02-20,22161.15,22171.67,21888.32,22072.74,907305
2025-02-19,22160.6,22238.1,22056.73,22161.15,729653
2025-02-18,22165.08,22255.52,22039.55,22160.6,754700
2025-02-17,22127.55,22214.88,22126.53,22165.08,176302
2025-02-16,22002.72,22149.75,21968.35,22127.55,664676
2025-02-15,22002.72,22149.75,21968.35,22127.55,664676
2025-02-14,22002.72,22149.75,21968.35,22127.55,664676
2025-02-13,21786.61,22051.42,21680.77,22002.72,967338
2025-02-12,21714.58,21787.16,21435.79,21786.61,979253
2025-02-11,21758.24,21793.78,21592,21714.58,721743
2025-02-10,21500.25,21815.44,21340.11,21758.24,669524
2025-02-09,21759.06,21883.08,21468.5,21500.25,1306118
2025-02-08,21759.06,21883.08,21468.5,21500.25,1306118
2025-02-07,21759.06,21883.08,21468.5,21500.25,1306118
2025-02-06,21683.09,21796.51,21620.74,21759.06,810442
2025-02-05,21494.2,21707.52,21342.52,21683.09,935206
2025-02-04,21460.19,21605.41,21153.83,21494.2,964515
2025-02-03,21462.57,21486.19,20851.44,21460.19,1716220
2025-02-02,21510.35,21867.64,21435.62,21462.57,1446934
2025-02-01,21510.35,21867.64,21435.62,21462.57,1446934
2025-01-31,21510.35,21867.64,21435.62,21462.57,1446934
2025-01-30,21471.09,21648.56,21319.56,21510.35,1437204
2025-01-29,21454.84,21593.89,21264.46,21471.09,1437713
2025-01-28,21194.43,21522.29,21056.46,21454.84,1359893
2025-01-27,21781.43,21781.43,20653.61,21194.43,2334988
2025-01-26,21900.73,21959,21725.13,21781.43,874327
2025-01-25,21900.73,21959,21725.13,21781.43,874327
2025-01-24,21900.73,21959,21725.13,21781.43,874327
2025-01-23,21863.33,21929.03,21734.15,21900.73,799888
2025-01-22,21649.59,21971.65,21646.95,21863.33,853499
2025-01-21,21555.54,21659.76,21253.21,21649.59,1148942
2025-01-20,21457.93,21653.04,21401.09,21555.54,439084
2025-01-19,21079.7,21546.68,21077.73,21457.93,1096999
2025-01-18,21079.7,21546.68,21077.73,21457.93,1096999
2025-01-17,21079.7,21546.68,21077.73,21457.93,1096999
2025-01-16,21243.72,21431.63,21037.5,21079.7,1402311
2025-01-15,20841.41,21319.54,20775.39,21243.72,1058208
2025-01-14,20852.56,21007.33,20637.98,20841.41,1494705
2025-01-13,20845.43,20897.11,20554.99,20852.56,1469636
2025-01-12,21150.39,21223.1,20728.3,20845.43,1488494
2025-01-11,21150.39,21223.1,20728.3,20845.43,1488494
2025-01-10,21150.39,21223.1,20728.3,20845.43,1488494
2025-01-09,21172.3,21195.86,21066.24,21150.39,243903
2025-01-08,21217.32,21294.22,21012.87,21172.3,1537436
2025-01-07,21622.93,21648.27,21122.02,21217.32,1488101
2025-01-06,21327.05,21738.88,21320.8,21622.93,1131229
2025-01-05,21011.93,21397.63,20982.35,21327.05,863898
2025-01-04,21011.93,21397.63,20982.35,21327.05,863898
2025-01-03,21011.93,21397.63,20982.35,21327.05,863898
2025-01-02,21075.75,21319.73,20813.38,21011.93,1452125
2025-01-01,21193.22,21339.85,20997.5,21075.75,892035
2024-12-31,21193.22,21339.85,20997.5,21075.75,892035
2024-12-30,21504.72,21546.34,21058.42,21193.22,1067752
2024-12-29,21762.22,21796.52,21288.17,21504.72,1162514
2024-12-28,21762.22,21796.52,21288.17,21504.72,1162514
2024-12-27,21762.22,21796.52,21288.17,21504.72,1162514
2024-12-26,21825.54,21876.27,21649.54,21762.22,735656
2024-12-25,21507.59,21828.67,21487.89,21825.54,497581
2024-12-24,21507.59,21828.67,21487.89,21825.54,497581
2024-12-23,21290.81,21546.79,21247.04,21507.59,1093556
2024-12-22,21139.52,21564.76,20759.36,21290.81,1621662
2024-12-21,21139.52,21564.76,20759.36,21290.81,1621662
2024-12-20,21139.52,21564.76,20759.36,21290.81,1621662
2024-12-19,21172.49,21420.35,21072.27,21139.52,1018018
2024-12-18,21995.74,22076.66,21025.86,21172.49,1020948
2024-12-17,22100.25,22115.04,21933.44,21995.74,1013587
2024-12-16,21742.33,22140.58,21742.33,22100.25,779374
2024-12-15,21610.6,21888.91,21610.6,21742.33,810476
2024-12-14,21610.6,21888.91,21610.6,21742.33,810476
