date,open,high,low,close,volume
2025-04-30,3317.21,3327.89,3266.66,3288.34,524840
2025-04-29,3343.83,3348.3,3299.56,3317.21,456311
2025-04-28,3314.47,3352.92,3267.72,3343.83,625349
2025-04-27,3348.65,3370.36,3264.85,3314.47,625321
2025-04-26,3348.65,3370.36,3264.85,3314.47,625321
2025-04-25,3348.65,3370.36,3264.85,3314.47,625321
2025-04-24,3288.59,3367.45,3288.59,3348.65,638440
2025-04-23,3379.38,3386.53,3259.86,3288.59,932882
2025-04-22,3424.46,3500.11,3366.7,3379.38,864934
2025-04-21,3326.63,3430.58,3326.63,3424.46,581449
2025-04-20,3343.02,3357.83,3283.68,3326.63,609544
2025-04-19,3343.02,3357.83,3283.68,3326.63,609544
2025-04-18,3343.02,3357.83,3283.68,3326.63,609544
2025-04-17,3343.02,3357.83,3283.68,3326.63,609544
2025-04-16,3230.02,3343.14,3229.72,3343.02,583848
2025-04-15,3210.56,3233.58,3209.72,3230.02,381320
2025-04-14,3235.91,3245.71,3193.46,3210.56,508136
2025-04-13,3175.78,3245.4,3175.78,3235.91,877400
2025-04-12,3175.78,3245.4,3175.78,3235.91,877400
2025-04-11,3175.78,3245.4,3175.78,3235.91,877400
2025-04-10,3082.56,3176.39,3071.08,3175.78,771922
2025-04-09,2982.98,3099.58,2969.79,3082.56,1052498
2025-04-08,2983.12,3022.61,2974.55,2982.98,632047
2025-04-07,3035.92,3055.67,2956.2,2983.12,1034513
2025-04-06,3115.05,3136.69,3015.56,3035.92,833534
2025-04-05,3115.05,3136.69,3015.56,3035.92,833534
2025-04-04,3115.05,3136.69,3015.56,3035.92,833534
2025-04-03,3134.3,3167.88,3054.04,3115.05,886044
2025-04-02,3113.88,3143.15,3104.38,3134.3,460017
2025-04-01,3123.38,3148.89,3100.74,3113.88,492686
2025-03-31,3083.39,3127.87,3076.7,3123.38,499359
2025-03-30,3056.15,3086.74,3053.97,3083.39,513024
2025-03-29,3056.15,3086.74,3053.97,3083.39,513024
2025-03-28,3056.15,3086.74,3053.97,3083.39,513024
2025-03-27,3019.51,3059.7,3017.52,3056.15,513684
2025-03-26,3019.87,3032.03,3012.17,3019.51,305374
2025-03-25,3010.56,3036.05,3007.31,3019.87,269645
2025-03-24,3023.11,3033.3,3002.4,3010.56,320314
2025-03-23,3044.8,3047.46,2999.34,3023.05,326413
2025-03-22,3044.8,3047.46,2999.34,3023.05,326413
2025-03-21,3044.8,3047.46,2999.34,3023.05,326413
2025-03-20,3047.39,3057.36,3025.55,3044.8,328765
2025-03-19,3034.46,3051.96,3022.74,3047.39,294064
2025-03-18,3000.94,3038.21,2999.31,3034.46,313099
2025-03-17,2987.95,3001.73,2982.1,3000.94,263728
2025-03-16,2988.08,3004.88,2978.36,2987.95,364001
2025-03-15,2988.08,3004.88,2978.36,2987.95,364001
2025-03-14,2988.08,3004.88,2978.36,2987.95,364001
2025-03-13,2933.81,2989.18,2932.75,2988.08,431499
2025-03-12,2916.06,2940.51,2905.89,2933.81,373115
2025-03-11,2888.72,2922.16,2879.68,2916.06,399767
2025-03-10,2911.41,2918.11,2880.11,2888.72,474995
2025-03-09,2911.57,2930.43,2896.14,2911.41,442648
2025-03-08,2911.57,2930.43,2896.14,2911.41,442648
2025-03-07,2911.57,2930.43,2896.14,2911.41,442648
2025-03-06,2919.25,2926.48,2891.01,2911.57,506968
2025-03-05,2917.44,2929.79,2894.13,2919.25,496700
2025-03-04,2891.23,2927.84,2881.69,2917.44,499999
2025-03-03,2857.44,2895.05,2857.37,2891.23,447624
2025-03-02,2877.26,2885.01,2832.42,2857.44,503119
2025-03-01,2877.26,2885.01,2832.42,2857.44,503119
2025-02-28,2877.26,2885.01,2832.42,2857.44,503119
2025-02-27,2916.42,2920.66,2867.6,2877.26,614020
2025-02-26,2914.85,2930.05,2890.7,2916.42,440770
2025-02-25,2952.9,2953.37,2888.08,2914.85,599559
2025-02-24,2937.44,2956.13,2921,2952.9,478555
2025-02-23,2939.19,2949.56,2916.61,2937.44,503927
2025-02-22,2939.19,2949.56,2916.61,2937.44,503927
2025-02-21,2939.19,2949.56,2916.61,2937.44,503927
2025-02-20,2933.39,2954.81,2923.88,2939.19,515212
2025-02-19,2935.38,2946.83,2918.46,2933.39,505810
2025-02-18,2897.85,2936.91,2891.67,2935.38,407077
2025-02-17,2882.85,2906.3,2878.69,2897.85,308990
2025-02-16,2927.42,2939.89,2876.83,2882.85,671334
2025-02-15,2927.42,2939.89,2876.83,2882.85,671334
2025-02-14,2927.42,2939.89,2876.83,2882.85,671334
2025-02-13,2904.34,2929.35,2900.33,2927.42,569508
2025-02-12,2897.35,2909.07,2863.87,2904.34,678132
2025-02-11,2907.96,2942.59,2881.35,2897.35,827034
2025-02-10,2860.83,2911.84,2855.59,2907.96,569568
2025-02-09,2855.98,2886.61,2852.28,2860.83,681141
2025-02-08,2855.98,2886.61,2852.28,2860.83,681141
2025-02-07,2855.98,2886.61,2852.28,2860.83,681141
