month,count,rank,word,frequency
2020-01,4474,1,비트,438
2020-01,4474,2,6k,417
2020-01,4474,3,차트,223
2020-01,4474,4,상승,192
2020-01,4474,5,사람,183
2020-01,4474,6,청산,179
2020-01,4474,7,하락,149
2020-01,4474,8,핵공격,148
2020-01,4474,9,비트코인,145
2020-01,4474,10,이번,119
2020-01,4474,11,알트,113
2020-01,4474,12,보고,112
2020-01,4474,13,코인,111
2020-01,4474,14,간다,111
2020-01,4474,15,조정,109
2020-01,4474,16,한번,105
2020-01,4474,17,추세,104
2020-01,4474,18,sv,101
2020-01,4474,19,매수,96
2020-01,4474,20,포지션,95
2020-02,4270,1,비트,490
2020-02,4270,2,알트,195
2020-02,4270,3,차트,193
2020-02,4270,4,사람,178
2020-02,4270,5,하락,177
2020-02,4270,6,반등,148
2020-02,4270,7,상승,145
2020-02,4270,8,코인,136
2020-02,4270,9,청산,130
2020-02,4270,10,리플,130
2020-02,4270,11,비트코인,114
2020-02,4270,12,한번,110
2020-02,4270,13,마진,108
2020-02,4270,14,매수,105
2020-02,4270,15,이번,100
2020-02,4270,16,이유,92
2020-02,4270,17,보고,87
2020-02,4270,18,조정,84
2020-02,4270,19,간다,82
2020-02,4270,20,추세,80
2020-03,6021,1,비트,673
2020-03,6021,2,나스닥,292
2020-03,6021,3,청산,263
2020-03,6021,4,정신,260
2020-03,6021,5,비트코인,246
2020-03,6021,6,반등,245
2020-03,6021,7,하락,231
2020-03,6021,8,차트,207
2020-03,6021,9,사람,204
2020-03,6021,10,코인,170
2020-03,6021,11,이번,164
2020-03,6021,12,상승,151
2020-03,6021,13,매수,143
2020-03,6021,14,시장,132
2020-03,6021,15,마진,130
2020-03,6021,16,흑인,130
2020-03,6021,17,한번,123
2020-03,6021,18,간다,122
2020-03,6021,19,보고,119
2020-03,6021,20,알트,113
2020-04,3286,1,비트,359
2020-04,3286,2,차트,157
2020-04,3286,3,사람,120
2020-04,3286,4,나스닥,117
2020-04,3286,5,비트코인,108
2020-04,3286,6,청산,106
2020-04,3286,7,오일,104
2020-04,3286,8,흑인,101
2020-04,3286,9,상승,92
2020-04,3286,10,코인,90
2020-04,3286,11,하락,85
2020-04,3286,12,매수,78
2020-04,3286,13,이번,73
2020-04,3286,14,링크,69
2020-04,3286,15,한번,69
2020-04,3286,16,거래,63
2020-04,3286,17,보고,60
2020-04,3286,18,이유,60
2020-04,3286,19,가격,60
2020-04,3286,20,반등,58
2021-02,13,1,부활,3
2021-02,13,2,입술,2
2021-02,13,3,흑인,2
2021-02,13,4,워뇨띠,1
2021-02,13,5,작년,1
2021-02,13,6,4월,1
2021-02,13,7,105억,1
2021-02,13,8,냄새,1
2021-02,13,9,나노,1
2021-02,13,10,키스마렵,1
2021-02,13,11,새초롬,1
2021-02,13,12,박치기,1
2021-02,13,13,농밀,1
2021-02,13,14,프렌치키스,1
2021-02,13,15,마려운,1
2021-02,13,16,인중,1
2021-02,13,17,면도,1
2021-02,13,18,제대로,1
2021-02,13,19,라이트코인,1
2021-02,13,20,간다,1
2021-05,500,1,비트,38
2021-05,500,2,알트,23
2021-05,500,3,하락,23
2021-05,500,4,차트,22
2021-05,500,5,상승,17
2021-05,500,6,반등,17
2021-05,500,7,코인,17
2021-05,500,8,현물,17
2021-05,500,9,사람,16
2021-05,500,10,이번,15
2021-05,500,11,수익,13
2021-05,500,12,한번,13
2021-05,500,13,시드,13
2021-05,500,14,추세,13
2021-05,500,15,이유,12
2021-05,500,16,관점,12
2021-05,500,17,양봉,11
2021-05,500,18,보고,11
2021-05,500,19,방향,11
2021-05,500,20,리플,10
2021-06,2503,1,비트,221
2021-06,2503,2,차트,114
2021-06,2503,3,갤러리,110
2021-06,2503,4,반등,109
2021-06,2503,5,알트,101
2021-06,2503,6,상승,99
2021-06,2503,7,코인,88
2021-06,2503,8,하락,87
2021-06,2503,9,사람,72
2021-06,2503,10,현물,62
2021-06,2503,11,비트코인,61
2021-06,2503,12,한번,56
2021-06,2503,13,정신,54
2021-06,2503,14,무빙,53
2021-06,2503,15,추세,52
2021-06,2503,16,청산,51
2021-06,2503,17,시드,49
2021-06,2503,18,보고,48
2021-06,2503,19,이유,48
2021-06,2503,20,이번,47
2021-07,1924,1,집중,219
2021-07,1924,2,비트,212
2021-07,1924,3,숏롱숏롱숏롱숏,145
2021-07,1924,4,코인,99
2021-07,1924,5,알트,63
2021-07,1924,6,반등,62
2021-07,1924,7,시드,59
2021-07,1924,8,차트,55
2021-07,1924,9,비트코인,54
2021-07,1924,10,상승,50
2021-07,1924,11,하락,48
2021-07,1924,12,한번,47
2021-07,1924,13,이번,46
2021-07,1924,14,청산,46
2021-07,1924,15,현물,44
2021-07,1924,16,보고,43
2021-07,1924,17,선물,43
2021-07,1924,18,무빙,38
2021-07,1924,19,사람,38
2021-07,1924,20,간다,38
2021-08,2389,1,비트,263
2021-08,2389,2,알트,128
2021-08,2389,3,차트,108
2021-08,2389,4,사람,103
2021-08,2389,5,코인,99
2021-08,2389,6,상승,84
2021-08,2389,7,하락,68
2021-08,2389,8,라나,64
2021-08,2389,9,시드,63
2021-08,2389,10,청산,58
2021-08,2389,11,매수,52
2021-08,2389,12,조정,51
2021-08,2389,13,반등,50
2021-08,2389,14,무빙,49
