month,count,rank,word,frequency
2020-01,1350,1,코인,149
2020-01,1350,2,비트,103
2020-01,1350,3,sv,60
2020-01,1350,4,상장,56
2020-01,1350,5,사람,55
2020-01,1350,6,출시,49
2020-01,1350,7,일정,41
2020-01,1350,8,밀크,40
2020-01,1350,9,bitcoin,40
2020-01,1350,10,알트,38
2020-01,1350,11,빗썸,37
2020-01,1350,12,채굴,37
2020-01,1350,13,석우,36
2020-01,1350,14,마일리지,32
2020-01,1350,15,역프,32
2020-01,1350,16,따리,29
2020-01,1350,17,이번,29
2020-01,1350,18,1/31,29
2020-01,1350,19,해물,29
2020-01,1350,20,비트코인,28
2020-02,2395,1,코인,169
2020-02,2395,2,비트,165
2020-02,2395,3,밀크,101
2020-02,2395,4,따리,99
2020-02,2395,5,무비,95
2020-02,2395,6,헤데,86
2020-02,2395,7,사람,80
2020-02,2395,8,애비,64
2020-02,2395,9,매수,61
2020-02,2395,10,상장,61
2020-02,2395,11,시드,55
2020-02,2395,12,빗썸,50
2020-02,2395,13,알트,50
2020-02,2395,14,리플,49
2020-02,2395,15,물량,49
2020-02,2395,16,업빗,48
2020-02,2395,17,석우,48
2020-02,2395,18,가격,46
2020-02,2395,19,아이콘,45
2020-02,2395,20,유의,44
2020-03,2485,1,비트,204
2020-03,2485,2,코인,199
2020-03,2485,3,역시,166
2020-03,2485,4,따리,117
2020-03,2485,5,싸우지마,97
2020-03,2485,6,상장,92
2020-03,2485,7,빗썸,89
2020-03,2485,8,사람,83
2020-03,2485,9,매수,62
2020-03,2485,10,스팀,62
2020-03,2485,11,김프,61
2020-03,2485,12,출금,57
2020-03,2485,13,반감기,57
2020-03,2485,14,헤데,54
2020-03,2485,15,업빗,49
2020-03,2485,16,매도,47
2020-03,2485,17,레후,45
2020-03,2485,18,가격,44
2020-03,2485,19,거래소,43
2020-03,2485,20,이번,41
2020-04,1289,1,코인,97
2020-04,1289,2,비트,84
2020-04,1289,3,상장,73
2020-04,1289,4,하이브,50
2020-04,1289,5,기름,44
