month,count,rank,word,frequency
2020-04,1,1,월봉,1
2020-04,1,2,음봉,1
2020-04,1,3,전환,1
2020-04,1,4,마감,1
2020-04,1,5,인정,1
2020-05,137,1,비트,16
2020-05,137,2,하락,12
2020-05,137,3,파동,11
2020-05,137,4,알트,10
2020-05,137,5,채널,10
2020-05,137,6,상승,8
2020-05,137,7,보고,7
2020-05,137,8,차트,6
2020-05,137,9,사람,6
2020-05,137,10,10k,6
2020-05,137,11,코인,5
2020-05,137,12,한번,5
2020-05,137,13,스탑,5
2020-05,137,14,자리,4
2020-05,137,15,하나,4
2020-05,137,16,저항,4
2020-05,137,17,이번,4
2020-05,137,18,사토시,4
2020-05,137,19,거래,4
2020-05,137,20,1분,4
2020-06,100,1,암호,44
2020-06,100,2,자산,43
2020-06,100,3,비트,21
2020-06,100,4,이익,17
2020-06,100,5,나스닥,14
2020-06,100,6,국세청,14
2020-06,100,7,소득,12
2020-06,100,8,과세,12
2020-06,100,9,교환,12
2020-06,100,10,비토,11
2020-06,100,11,투자,11
2020-06,100,12,리움,10
2020-06,100,13,비트코인,10
2020-06,100,14,구치,10
2020-06,100,15,가격,9
2020-06,100,16,다른,9
2020-06,100,17,화폐,9
2020-06,100,18,당시,9
2020-06,100,19,대해,9
2020-06,100,20,18년,8
2020-07,111,1,비트,17
2020-07,111,2,정신,12
2020-07,111,3,알트,10
2020-07,111,4,사람,6
2020-07,111,5,스탑,6
2020-07,111,6,코인,6
2020-07,111,7,하락,6
2020-07,111,8,리플,5
2020-07,111,9,상승,5
2020-07,111,10,비트코인,5
2020-07,111,11,세력,5
2020-07,111,12,나스닥,5
2020-07,111,13,에이,5
2020-07,111,14,가격,4
2020-07,111,15,매수,4
2020-07,111,16,1억,4
2020-07,111,17,오스,4
2020-07,111,18,거래소,4
2020-07,111,19,꼬리,3
2020-07,111,20,진입,3
2020-08,195,1,코인,22
2020-08,195,2,비트,21
2020-08,195,3,링크,18
2020-08,195,4,청산,12
2020-08,195,5,반등,10
2020-08,195,6,밴드,10
2020-08,195,7,알트,10
2020-08,195,8,리움,9
2020-08,195,9,디파이,7
2020-08,195,10,조정,7
2020-08,195,11,자리,6
2020-08,195,12,추세,6
2020-08,195,13,사람,5
2020-08,195,14,정신,5
2020-08,195,15,차트,5
2020-08,195,16,보고,5
2020-08,195,17,현물,5
2020-08,195,18,마진,5
2020-08,195,19,갑자기,5
2020-08,195,20,한번,5
2020-09,204,1,비트,37
2020-09,204,2,사람,18
2020-09,204,3,알트,17
2020-09,204,4,스시,12
2020-09,204,5,나스닥,11
2020-09,204,6,하락,11
2020-09,204,7,청산,10
2020-09,204,8,세탁기,10
2020-09,204,9,누나,9
2020-09,204,10,한번,9
2020-09,204,11,리플,8
2020-09,204,12,진입,8
2020-09,204,13,교사,8
2020-09,204,14,아버지,8
