주차,게시글수,총조회수,평균조회수,총댓글수,평균댓글수,주차_str
2019-12-30/2020-01-05,400,50089,125.22,79,0.2,2019-12-30/2020-01-05
2020-01-06/2020-01-12,1027,155505,151.42,254,0.25,2020-01-06/2020-01-12
2020-01-13/2020-01-19,1209,144408,119.44,232,0.19,2020-01-13/2020-01-19
2020-01-20/2020-01-26,871,111043,127.49,194,0.22,2020-01-20/2020-01-26
2020-01-27/2020-02-02,1254,155123,123.7,320,0.26,2020-01-27/2020-02-02
2020-02-03/2020-02-09,1048,129891,123.94,240,0.23,2020-02-03/2020-02-09
2020-02-10/2020-02-16,1195,162836,136.26,382,0.32,2020-02-10/2020-02-16
2020-02-17/2020-02-23,938,110863,118.19,139,0.15,2020-02-17/2020-02-23
2020-02-24/2020-03-01,950,113731,119.72,157,0.17,2020-02-24/2020-03-01
2020-03-02/2020-03-08,823,82439,100.17,101,0.12,2020-03-02/2020-03-08
2020-03-09/2020-03-15,2326,296309,127.39,463,0.2,2020-03-09/2020-03-15
2020-03-16/2020-03-22,1402,172114,122.76,200,0.14,2020-03-16/2020-03-22
2020-03-23/2020-03-29,1011,112536,111.31,94,0.09,2020-03-23/2020-03-29
2020-03-30/2020-04-05,894,100277,112.17,85,0.1,2020-03-30/2020-04-05
2020-04-06/2020-04-12,886,107376,121.19,148,0.17,2020-04-06/2020-04-12
2020-04-13/2020-04-19,783,91550,116.92,74,0.09,2020-04-13/2020-04-19
2020-04-20/2020-04-26,1034,112851,109.14,213,0.21,2020-04-20/2020-04-26
2021-02-15/2021-02-21,13,1196,92.0,6,0.46,2021-02-15/2021-02-21
2021-05-17/2021-05-23,59,9561,162.05,6,0.1,2021-05-17/2021-05-23
2021-05-24/2021-05-30,372,35774,96.17,37,0.1,2021-05-24/2021-05-30
2021-05-31/2021-06-06,432,48250,111.69,186,0.43,2021-05-31/2021-06-06
2021-06-07/2021-06-13,532,75385,141.7,210,0.39,2021-06-07/2021-06-13
2021-06-14/2021-06-20,618,73804,119.42,214,0.35,2021-06-14/2021-06-20
