주차,게시글수,총조회수,평균조회수,총댓글수,평균댓글수,주차_str
2019-12-30/2020-01-05,148,21515,145.37,123,0.83,2019-12-30/2020-01-05
2020-01-06/2020-01-12,242,33153,137.0,85,0.35,2020-01-06/2020-01-12
2020-01-13/2020-01-19,413,44539,107.84,169,0.41,2020-01-13/2020-01-19
2020-01-20/2020-01-26,302,39903,132.13,124,0.41,2020-01-20/2020-01-26
2020-01-27/2020-02-02,301,37889,125.88,127,0.42,2020-01-27/2020-02-02
2020-02-03/2020-02-09,361,39899,110.52,205,0.57,2020-02-03/2020-02-09
2020-02-10/2020-02-16,793,71782,90.52,184,0.23,2020-02-10/2020-02-16
2020-02-17/2020-02-23,739,73810,99.88,231,0.31,2020-02-17/2020-02-23
2020-02-24/2020-03-01,480,51518,107.33,211,0.44,2020-02-24/2020-03-01
2020-03-02/2020-03-08,431,50396,116.93,215,0.5,2020-03-02/2020-03-08
2020-03-09/2020-03-15,865,92551,107.0,285,0.33,2020-03-09/2020-03-15
2020-03-16/2020-03-22,558,62518,112.04,84,0.15,2020-03-16/2020-03-22
2020-03-23/2020-03-29,469,59458,126.78,159,0.34,2020-03-23/2020-03-29
2020-03-30/2020-04-05,311,34147,109.8,110,0.35,2020-03-30/2020-04-05
2020-04-06/2020-04-12,306,34887,114.01,148,0.48,2020-04-06/2020-04-12
2020-04-13/2020-04-19,229,24372,106.43,73,0.32,2020-04-13/2020-04-19
2020-04-20/2020-04-26,331,33766,102.01,180,0.54,2020-04-20/2020-04-26
2020-04-27/2020-05-03,310,30117,97.15,89,0.29,2020-04-27/2020-05-03
2020-05-04/2020-05-10,287,28030,97.67,163,0.57,2020-05-04/2020-05-10
2020-05-11/2020-05-17,255,28266,110.85,127,0.5,2020-05-11/2020-05-17
2020-05-18/2020-05-24,387,39986,103.32,184,0.48,2020-05-18/2020-05-24
2020-05-25/2020-05-31,404,43102,106.69,178,0.44,2020-05-25/2020-05-31
2020-06-01/2020-06-07,352,41011,116.51,197,0.56,2020-06-01/2020-06-07
2020-06-08/2020-06-14,423,47571,112.46,262,0.62,2020-06-08/2020-06-14
2020-06-15/2020-06-21,306,35933,117.43,190,0.62,2020-06-15/2020-06-21
2020-06-22/2020-06-28,233,27659,118.71,104,0.45,2020-06-22/2020-06-28
2020-06-29/2020-07-05,261,30032,115.07,89,0.34,2020-06-29/2020-07-05
2020-07-06/2020-07-12,209,18980,90.81,113,0.54,2020-07-06/2020-07-12
2020-07-13/2020-07-19,274,29048,106.01,109,0.4,2020-07-13/2020-07-19
2020-07-20/2020-07-26,283,31349,110.77,142,0.5,2020-07-20/2020-07-26
2020-07-27/2020-08-02,431,46101,106.96,221,0.51,2020-07-27/2020-08-02
2020-08-03/2020-08-09,439,59654,135.89,275,0.63,2020-08-03/2020-08-09
2020-08-10/2020-08-16,643,76933,119.65,214,0.33,2020-08-10/2020-08-16
2020-08-17/2020-08-23,575,59638,103.72,139,0.24,2020-08-17/2020-08-23
2020-08-24/2020-08-30,594,68393,115.14,202,0.34,2020-08-24/2020-08-30
2020-08-31/2020-09-06,954,114551,120.07,406,0.43,2020-08-31/2020-09-06
2020-09-07/2020-09-13,492,65656,133.45,185,0.38,2020-09-07/2020-09-13
2020-09-14/2020-09-20,519,76802,147.98,226,0.44,2020-09-14/2020-09-20
2020-09-21/2020-09-27,396,72375,182.77,234,0.59,2020-09-21/2020-09-27
2020-09-28/2020-10-04,226,31529,139.51,103,0.46,2020-09-28/2020-10-04
2020-10-05/2020-10-11,266,34895,131.18,73,0.27,2020-10-05/2020-10-11
2020-10-12/2020-10-18,216,29921,138.52,115,0.53,2020-10-12/2020-10-18
2020-10-19/2020-10-25,220,35565,161.66,114,0.52,2020-10-19/2020-10-25
2020-10-26/2020-11-01,253,35387,139.87,98,0.39,2020-10-26/2020-11-01
2020-11-02/2020-11-08,330,35773,108.4,97,0.29,2020-11-02/2020-11-08
2020-11-09/2020-11-15,336,42857,127.55,149,0.44,2020-11-09/2020-11-15
2020-11-16/2020-11-22,440,50406,114.56,287,0.65,2020-11-16/2020-11-22
2020-11-23/2020-11-29,650,83755,128.85,354,0.54,2020-11-23/2020-11-29
2020-11-30/2020-12-06,633,73853,116.67,307,0.48,2020-11-30/2020-12-06
2020-12-07/2020-12-13,568,70603,124.3,240,0.42,2020-12-07/2020-12-13
2020-12-14/2020-12-20,664,77886,117.3,285,0.43,2020-12-14/2020-12-20
2020-12-21/2020-12-27,826,94490,114.39,335,0.41,2020-12-21/2020-12-27
2020-12-28/2021-01-03,511,82697,161.83,389,0.76,2020-12-28/2021-01-03
2021-01-04/2021-01-10,487,56688,116.4,193,0.4,2021-01-04/2021-01-10
2021-01-11/2021-01-17,475,57423,120.89,248,0.52,2021-01-11/2021-01-17
