주차,게시글수,총조회수,평균조회수,총댓글수,평균댓글수,주차_str
2020-04-27/2020-05-03,11,1270,115.45,31,2.82,2020-04-27/2020-05-03
2020-05-04/2020-05-10,36,4016,111.56,76,2.11,2020-05-04/2020-05-10
2020-05-11/2020-05-17,36,3435,95.42,39,1.08,2020-05-11/2020-05-17
2020-05-18/2020-05-24,31,2869,92.55,43,1.39,2020-05-18/2020-05-24
2020-05-25/2020-05-31,24,2838,118.25,42,1.75,2020-05-25/2020-05-31
2020-06-01/2020-06-07,21,3072,146.29,53,2.52,2020-06-01/2020-06-07
2020-06-08/2020-06-14,19,2376,125.05,32,1.68,2020-06-08/2020-06-14
2020-06-15/2020-06-21,26,3294,126.69,36,1.38,2020-06-15/2020-06-21
2020-06-22/2020-06-28,27,2734,101.26,67,2.48,2020-06-22/2020-06-28
2020-06-29/2020-07-05,23,2310,100.43,39,1.7,2020-06-29/2020-07-05
2020-07-06/2020-07-12,24,2687,111.96,41,1.71,2020-07-06/2020-07-12
2020-07-13/2020-07-19,24,2336,97.33,36,1.5,2020-07-13/2020-07-19
2020-07-20/2020-07-26,24,2630,109.58,41,1.71,2020-07-20/2020-07-26
2020-07-27/2020-08-02,38,3422,90.05,29,0.76,2020-07-27/2020-08-02
2020-08-03/2020-08-09,35,5273,150.66,81,2.31,2020-08-03/2020-08-09
2020-08-10/2020-08-16,45,6923,153.84,113,2.51,2020-08-10/2020-08-16
2020-08-17/2020-08-23,48,6131,127.73,102,2.12,2020-08-17/2020-08-23
2020-08-24/2020-08-30,45,6196,137.69,88,1.96,2020-08-24/2020-08-30
2020-08-31/2020-09-06,67,9392,140.18,90,1.34,2020-08-31/2020-09-06
2020-09-07/2020-09-13,40,5842,146.05,115,2.88,2020-09-07/2020-09-13
2020-09-14/2020-09-20,43,6531,151.88,128,2.98,2020-09-14/2020-09-20
2020-09-21/2020-09-27,46,4629,100.63,75,1.63,2020-09-21/2020-09-27
2020-09-28/2020-10-04,39,4605,118.08,86,2.21,2020-09-28/2020-10-04
2020-10-05/2020-10-11,52,5436,104.54,124,2.38,2020-10-05/2020-10-11
2020-10-12/2020-10-18,50,6003,120.06,134,2.68,2020-10-12/2020-10-18
2020-10-19/2020-10-25,60,6357,105.95,109,1.82,2020-10-19/2020-10-25
2020-10-26/2020-11-01,54,5931,109.83,94,1.74,2020-10-26/2020-11-01
2020-11-02/2020-11-08,77,8487,110.22,150,1.95,2020-11-02/2020-11-08
2020-11-09/2020-11-15,56,5527,98.7,105,1.88,2020-11-09/2020-11-15
2020-11-16/2020-11-22,81,7114,87.83,103,1.27,2020-11-16/2020-11-22
2020-11-23/2020-11-29,80,9069,113.36,128,1.6,2020-11-23/2020-11-29
2020-11-30/2020-12-06,70,8030,114.71,144,2.06,2020-11-30/2020-12-06
2020-12-07/2020-12-13,66,8323,126.11,146,2.21,2020-12-07/2020-12-13
2020-12-14/2020-12-20,85,9099,107.05,108,1.27,2020-12-14/2020-12-20
2020-12-21/2020-12-27,108,12745,118.01,179,1.66,2020-12-21/2020-12-27
2020-12-28/2021-01-03,106,18107,170.82,215,2.03,2020-12-28/2021-01-03
2021-01-04/2021-01-10,164,19676,119.98,281,1.71,2021-01-04/2021-01-10
2021-01-11/2021-01-17,149,16682,111.96,254,1.7,2021-01-11/2021-01-17
2021-01-18/2021-01-24,132,36826,278.98,323,2.45,2021-01-18/2021-01-24
2021-01-25/2021-01-31,137,16438,119.99,280,2.04,2021-01-25/2021-01-31
2021-02-01/2021-02-07,148,22119,149.45,355,2.4,2021-02-01/2021-02-07
2021-02-08/2021-02-14,168,21079,125.47,314,1.87,2021-02-08/2021-02-14
2021-02-15/2021-02-21,174,21920,125.98,293,1.68,2021-02-15/2021-02-21
2021-02-22/2021-02-28,205,28462,138.84,366,1.79,2021-02-22/2021-02-28
2021-03-01/2021-03-07,173,32400,187.28,472,2.73,2021-03-01/2021-03-07
2021-03-08/2021-03-14,196,27312,139.35,501,2.56,2021-03-08/2021-03-14
2021-03-15/2021-03-21,192,27467,143.06,414,2.16,2021-03-15/2021-03-21
2021-03-22/2021-03-28,180,39081,217.12,541,3.01,2021-03-22/2021-03-28
2021-03-29/2021-04-04,177,22057,124.62,382,2.16,2021-03-29/2021-04-04
2021-04-05/2021-04-11,185,24701,133.52,410,2.22,2021-04-05/2021-04-11
2021-04-12/2021-04-18,202,27883,138.03,465,2.3,2021-04-12/2021-04-18
2021-04-19/2021-04-25,237,67646,285.43,634,2.68,2021-04-19/2021-04-25
2021-04-26/2021-05-02,203,27154,133.76,299,1.47,2021-04-26/2021-05-02
2021-05-03/2021-05-09,196,28496,145.39,335,1.71,2021-05-03/2021-05-09
2021-05-10/2021-05-16,204,35449,173.77,493,2.42,2021-05-10/2021-05-16
2021-05-17/2021-05-23,178,31033,174.34,284,1.6,2021-05-17/2021-05-23
2021-05-24/2021-05-30,84,16915,201.37,191,2.27,2021-05-24/2021-05-30
2021-05-31/2021-06-06,89,15104,169.71,147,1.65,2021-05-31/2021-06-06
2021-06-07/2021-06-13,107,18865,176.31,214,2.0,2021-06-07/2021-06-13
2021-06-14/2021-06-20,88,10035,114.03,105,1.19,2021-06-14/2021-06-20
2021-06-21/2021-06-27,87,10909,125.39,135,1.55,2021-06-21/2021-06-27
2021-06-28/2021-07-04,81,7736,95.51,106,1.31,2021-06-28/2021-07-04
2021-07-05/2021-07-11,86,8347,97.06,140,1.63,2021-07-05/2021-07-11
2021-07-12/2021-07-18,74,8424,113.84,115,1.55,2021-07-12/2021-07-18
2021-07-19/2021-07-25,62,8497,137.05,138,2.23,2021-07-19/2021-07-25
2021-07-26/2021-08-01,54,5661,104.83,91,1.69,2021-07-26/2021-08-01
2021-08-02/2021-08-08,47,3428,72.94,41,0.87,2021-08-02/2021-08-08
2021-08-09/2021-08-15,58,5351,92.26,80,1.38,2021-08-09/2021-08-15
2021-08-16/2021-08-22,53,5327,100.51,69,1.3,2021-08-16/2021-08-22
2021-08-23/2021-08-29,52,4526,87.04,81,1.56,2021-08-23/2021-08-29
2021-08-30/2021-09-05,51,4527,88.76,86,1.69,2021-08-30/2021-09-05
2021-09-06/2021-09-12,53,5497,103.72,98,1.85,2021-09-06/2021-09-12
2021-09-13/2021-09-19,42,3028,72.1,54,1.29,2021-09-13/2021-09-19
2021-09-20/2021-09-26,69,5841,84.65,134,1.94,2021-09-20/2021-09-26
2021-09-27/2021-10-03,61,8152,133.64,112,1.84,2021-09-27/2021-10-03
2021-10-04/2021-10-10,54,4733,87.65,101,1.87,2021-10-04/2021-10-10
2021-10-11/2021-10-17,69,4957,71.84,107,1.55,2021-10-11/2021-10-17
2021-10-18/2021-10-24,60,4823,80.38,141,2.35,2021-10-18/2021-10-24
2021-10-25/2021-10-31,43,2916,67.81,54,1.26,2021-10-25/2021-10-31
2021-11-01/2021-11-07,27,5187,192.11,113,4.19,2021-11-01/2021-11-07
2021-11-08/2021-11-14,37,3596,97.19,83,2.24,2021-11-08/2021-11-14
2021-11-15/2021-11-21,46,3611,78.5,85,1.85,2021-11-15/2021-11-21
2021-11-22/2021-11-28,37,3958,106.97,101,2.73,2021-11-22/2021-11-28
2021-11-29/2021-12-05,41,3466,84.54,82,2.0,2021-11-29/2021-12-05
2021-12-06/2021-12-12,37,4191,113.27,131,3.54,2021-12-06/2021-12-12
2021-12-13/2021-12-19,36,2685,74.58,112,3.11,2021-12-13/2021-12-19
2021-12-20/2021-12-26,30,1654,55.13,56,1.87,2021-12-20/2021-12-26
2021-12-27/2022-01-02,34,2370,69.71,89,2.62,2021-12-27/2022-01-02
2022-01-03/2022-01-09,39,2564,65.74,78,2.0,2022-01-03/2022-01-09
2022-01-10/2022-01-16,33,2251,68.21,56,1.7,2022-01-10/2022-01-16
2022-01-17/2022-01-23,50,2633,52.66,79,1.58,2022-01-17/2022-01-23
2022-01-24/2022-01-30,43,2824,65.67,126,2.93,2022-01-24/2022-01-30
2022-01-31/2022-02-06,39,3056,78.36,52,1.33,2022-01-31/2022-02-06
2022-02-07/2022-02-13,39,1880,48.21,43,1.1,2022-02-07/2022-02-13
2022-02-14/2022-02-20,37,1976,53.41,51,1.38,2022-02-14/2022-02-20
2022-02-21/2022-02-27,36,2197,61.03,80,2.22,2022-02-21/2022-02-27
2022-02-28/2022-03-06,34,2348,69.06,49,1.44,2022-02-28/2022-03-06
2022-03-07/2022-03-13,29,2015,69.48,59,2.03,2022-03-07/2022-03-13
2022-03-14/2022-03-20,30,2128,70.93,74,2.47,2022-03-14/2022-03-20
2022-03-21/2022-03-27,39,2199,56.38,72,1.85,2022-03-21/2022-03-27
2022-03-28/2022-04-03,43,2139,49.74,80,1.86,2022-03-28/2022-04-03
2022-04-04/2022-04-10,38,1941,51.08,98,2.58,2022-04-04/2022-04-10
2022-04-11/2022-04-17,37,2476,66.92,91,2.46,2022-04-11/2022-04-17
